,TrainA,TrainB,TrainC,TrainHC
8994,13,12,7,-1
8995,10,0,4,-1
8996,4,8,4,-1
8997,3,4,14,-1
8998,0,5,3,-1
8999,13,6,1,8
9000,1,1,2,-1
9001,14,13,6,-1
9002,3,8,8,-1
9003,6,1,12,-1
9004,14,8,1,-1
9005,6,4,7,-1
9006,1,2,0,7
9007,11,12,4,-1
9008,5,2,14,-1
9009,0,8,7,-1
9010,11,11,14,-1
9011,10,12,6,-1
9012,6,8,9,-1
9013,7,1,11,6
9014,5,3,10,-1
9015,0,9,12,-1
9016,5,4,10,-1
9017,10,10,10,-1
9018,7,8,10,-1
9019,10,6,7,-1
9020,1,13,8,8
9021,10,4,9,-1
9022,14,3,1,-1
9023,3,14,6,-1
9024,10,11,3,-1
9025,4,8,9,-1
9026,4,11,0,-1
9027,8,5,8,7
9028,2,11,9,-1
9029,0,0,10,-1
9030,11,6,10,-1
9031,3,6,9,-1
9032,3,0,5,-1
9033,4,6,5,-1
9034,0,12,4,8
9035,5,8,14,-1
9036,1,5,8,-1
9037,4,13,6,-1
9038,6,9,12,-1
9039,3,6,2,-1
9040,13,7,10,-1
9041,5,14,14,8
9042,9,4,4,-1
9043,2,12,0,-1
9044,4,7,12,-1
9045,14,12,0,-1
9046,12,8,3,-1
9047,1,3,5,-1
9048,5,10,6,6
9049,13,13,13,-1
9050,9,5,4,-1
9051,14,4,11,-1
9052,1,9,14,-1
9053,7,14,8,-1
9054,14,8,1,-1
9055,0,2,8,9
9056,11,1,14,-1
9057,2,6,10,-1
9058,5,9,2,-1
9059,8,8,4,-1
9060,14,12,12,-1
9061,13,8,11,-1
9062,5,1,9,8
9063,14,6,8,-1
9064,8,2,3,-1
9065,10,4,4,-1
9066,1,10,11,-1
9067,6,2,9,-1
9068,5,8,7,-1
9069,8,14,11,8
9070,11,1,13,-1
9071,10,5,3,-1
9072,5,8,2,-1
9073,12,3,0,-1
9074,0,7,1,-1
9075,14,8,13,-1
9076,11,14,8,6
9077,5,11,0,-1
9078,4,2,1,-1
9079,11,14,13,-1
9080,1,11,7,-1
9081,5,12,2,-1
9082,2,2,2,-1
9083,0,8,6,9
9084,9,13,11,-1
9085,6,10,6,-1
9086,12,4,4,-1
9087,12,2,13,-1
9088,8,14,13,-1
9089,6,13,5,-1
9090,9,11,6,9
9091,12,11,3,-1
9092,9,8,5,-1
9093,2,10,8,-1
9094,10,14,10,-1
9095,8,4,13,-1
9096,5,6,11,-1
9097,14,11,4,7
9098,9,13,3,-1
9099,0,11,5,-1
9100,13,10,9,-1
9101,5,2,0,-1
9102,12,11,10,-1
9103,3,12,1,-1
9104,5,14,14,7
9105,2,1,7,-1
9106,12,11,5,-1
9107,1,5,5,-1
9108,2,7,2,-1
9109,5,7,6,-1
9110,11,13,6,-1
9111,8,2,7,6
9112,4,3,10,-1
9113,8,11,10,-1
9114,0,0,13,-1
9115,7,13,4,-1
9116,2,11,12,-1
9117,6,13,7,-1
9118,8,5,12,8
9119,0,2,3,-1
9120,3,4,14,-1
9121,14,2,5,-1
9122,14,14,10,-1
9123,13,13,4,-1
9124,9,5,3,-1
9125,9,9,12,7
9126,4,9,12,-1
9127,13,10,9,-1
9128,12,1,13,-1
9129,3,1,5,-1
9130,4,0,1,-1
9131,0,4,3,-1
9132,7,8,8,9
9133,6,0,12,-1
9134,11,6,3,-1
9135,5,8,1,-1
9136,5,2,7,-1
9137,0,2,5,-1
9138,0,10,5,-1
9139,8,6,6,6
9140,2,2,3,-1
9141,11,1,6,-1
9142,3,9,14,-1
9143,4,14,10,-1
9144,10,3,4,-1
9145,11,14,12,-1
9146,1,1,4,6
9147,9,8,12,-1
9148,0,11,12,-1
9149,6,1,1,-1
9150,10,3,2,-1
9151,14,3,13,-1
9152,11,13,12,-1
9153,2,4,9,9
9154,11,9,3,-1
9155,12,3,12,-1
9156,0,8,4,-1
9157,2,1,4,-1
9158,11,1,9,-1
9159,11,13,3,-1
9160,8,10,9,8
9161,8,12,10,-1
9162,6,7,8,-1
9163,5,9,7,-1
9164,4,4,5,-1
9165,7,8,3,-1
9166,10,2,9,-1
9167,6,14,14,7
9168,13,4,2,-1
9169,11,0,14,-1
9170,14,12,13,-1
9171,5,9,2,-1
9172,1,8,7,-1
9173,0,8,7,-1
9174,11,11,12,6
9175,3,4,8,-1
9176,11,4,0,-1
9177,8,0,1,-1
9178,6,11,10,-1
9179,9,5,6,-1
9180,2,12,7,-1
9181,7,12,9,9
9182,5,4,3,-1
9183,8,0,3,-1
9184,1,11,5,-1
9185,8,2,13,-1
9186,2,1,3,-1
9187,7,6,10,-1
9188,6,11,10,6
9189,4,5,0,-1
9190,9,11,5,-1
9191,12,14,1,-1
9192,8,9,5,-1
9193,9,9,0,-1
9194,2,9,12,-1
9195,0,4,9,8
9196,12,11,7,-1
9197,13,5,7,-1
9198,12,0,5,-1
9199,14,9,11,-1
9200,12,5,7,-1
9201,3,3,2,-1
9202,13,5,4,8
9203,8,6,12,-1
9204,4,5,13,-1
9205,14,1,3,-1
9206,2,0,8,-1
9207,8,3,13,-1
9208,13,14,1,-1
9209,10,12,10,8
9210,3,8,5,-1
9211,4,11,8,-1
9212,0,10,2,-1
9213,2,0,0,-1
9214,0,6,5,-1
9215,1,6,14,-1
9216,4,1,5,8
9217,7,7,4,-1
9218,8,13,3,-1
9219,0,1,12,-1
9220,10,14,5,-1
9221,5,3,14,-1
9222,7,13,0,-1
9223,8,7,7,8
9224,13,14,5,-1
9225,6,14,5,-1
9226,2,0,2,-1
9227,14,13,3,-1
9228,0,11,3,-1
9229,14,0,1,-1
9230,4,8,7,9
9231,9,7,3,-1
9232,1,6,10,-1
9233,9,6,11,-1
9234,7,2,0,-1
9235,13,10,5,-1
9236,13,14,14,-1
9237,12,13,3,6
9238,6,9,7,-1
9239,8,3,14,-1
9240,9,4,14,-1
9241,0,7,3,-1
9242,10,9,9,-1
9243,8,8,6,-1
9244,3,12,8,6
9245,10,4,4,-1
9246,8,14,7,-1
9247,0,4,13,-1
9248,1,13,11,-1
9249,9,4,8,-1
9250,4,7,10,-1
9251,5,3,7,8
9252,10,14,9,-1
9253,2,1,6,-1
9254,0,0,1,-1
9255,4,10,3,-1
9256,14,10,11,-1
9257,13,3,6,-1
9258,3,14,1,7
9259,0,6,14,-1
9260,0,4,11,-1
9261,5,6,10,-1
9262,1,0,3,-1
9263,9,11,14,-1
9264,1,2,14,-1
9265,6,4,1,6
9266,14,9,10,-1
9267,3,12,7,-1
9268,10,5,9,-1
9269,5,9,2,-1
9270,8,13,14,-1
9271,4,14,5,-1
9272,13,12,13,8
9273,9,1,7,-1
9274,2,14,9,-1
9275,12,12,2,-1
9276,0,5,1,-1
9277,1,8,9,-1
9278,9,11,12,-1
9279,14,8,6,7
9280,2,10,4,-1
9281,14,14,11,-1
9282,2,6,0,-1
9283,13,10,5,-1
9284,6,0,0,-1
9285,1,3,8,-1
9286,2,9,1,6
9287,7,2,13,-1
9288,12,13,2,-1
9289,10,0,9,-1
9290,1,11,5,-1
9291,14,4,5,-1
9292,8,13,4,-1
9293,10,2,8,6
9294,5,6,9,-1
9295,11,11,1,-1
9296,1,8,5,-1
9297,12,0,6,-1
9298,1,12,4,-1
9299,5,12,5,-1
9300,5,8,9,8
9301,7,4,9,-1
9302,0,2,2,-1
9303,14,10,2,-1
9304,14,4,14,-1
9305,5,0,2,-1
9306,0,6,13,-1
9307,3,0,2,8
9308,13,2,7,-1
9309,3,10,13,-1
9310,10,7,6,-1
9311,0,11,13,-1
9312,13,13,3,-1
9313,14,4,6,-1
9314,3,3,1,9
9315,0,11,2,-1
9316,1,11,0,-1
9317,4,8,13,-1
9318,8,12,5,-1
9319,12,6,6,-1
9320,9,0,0,-1
9321,13,7,9,8
9322,1,3,1,-1
9323,1,9,11,-1
9324,14,3,6,-1
9325,2,2,12,-1
9326,9,8,2,-1
9327,0,14,8,-1
9328,10,4,6,7
9329,8,2,9,-1
9330,4,6,6,-1
9331,9,11,14,-1
9332,10,4,12,-1
9333,7,2,5,-1
9334,5,8,10,-1
9335,13,13,13,7
9336,10,4,0,-1
9337,0,14,8,-1
9338,5,14,6,-1
9339,12,12,0,-1
9340,12,11,5,-1
9341,6,2,4,-1
9342,3,9,11,8
9343,7,6,11,-1
9344,5,4,9,-1
9345,2,8,10,-1
9346,11,5,4,-1
9347,4,6,12,-1
9348,9,14,5,-1
9349,7,8,2,6
9350,5,13,11,-1
9351,7,0,11,-1
9352,5,2,4,-1
9353,5,11,4,-1
9354,8,2,3,-1
9355,13,11,2,-1
9356,7,9,1,8
9357,12,14,12,-1
9358,9,11,12,-1
9359,12,14,2,-1
9360,7,12,13,-1
9361,5,7,14,-1
9362,1,12,1,-1
9363,12,7,12,8
9364,13,11,11,-1
9365,7,6,8,-1
9366,1,5,8,-1
9367,14,5,7,-1
9368,5,7,12,-1
9369,12,1,8,-1
9370,11,6,5,8
9371,14,12,10,-1
9372,1,3,8,-1
9373,4,10,3,-1
9374,7,3,12,-1
9375,4,10,2,-1
9376,3,0,2,-1
9377,1,8,6,6
9378,10,4,6,-1
9379,14,4,12,-1
9380,10,4,0,-1
9381,10,1,12,-1
9382,1,2,1,-1
9383,14,7,9,-1
9384,8,11,6,6
9385,2,2,10,-1
9386,4,10,4,-1
9387,0,13,3,-1
9388,9,1,11,-1
9389,0,9,0,-1
9390,7,4,11,-1
9391,5,7,11,9
9392,11,5,8,-1
9393,5,12,0,-1
9394,0,6,6,-1
9395,13,11,6,-1
9396,10,0,12,-1
9397,13,13,2,-1
9398,13,6,6,9
9399,1,13,8,-1
9400,11,2,2,-1
9401,7,13,7,-1
9402,5,12,2,-1
9403,5,9,14,-1
9404,9,10,7,-1
9405,11,12,2,9
9406,4,8,14,-1
9407,14,9,13,-1
9408,1,6,6,-1
9409,10,6,8,-1
9410,13,8,2,-1
9411,7,14,0,-1
9412,10,12,7,9
9413,9,14,7,-1
9414,9,7,8,-1
9415,12,8,10,-1
9416,13,9,4,-1
9417,8,12,3,-1
9418,8,9,13,-1
9419,1,11,10,9
9420,0,5,7,-1
9421,9,6,8,-1
9422,2,11,10,-1
9423,10,2,8,-1
9424,9,10,11,-1
9425,11,7,6,-1
9426,9,0,3,7
9427,1,7,9,-1
9428,5,10,6,-1
9429,7,7,4,-1
9430,9,3,5,-1
9431,8,13,3,-1
9432,14,5,13,-1
9433,8,5,10,9
9434,2,10,8,-1
9435,13,14,11,-1
9436,1,12,1,-1
9437,11,14,6,-1
9438,6,1,6,-1
9439,10,9,12,-1
9440,5,6,10,6
9441,12,2,2,-1
9442,7,7,2,-1
9443,2,12,6,-1
9444,2,3,10,-1
9445,8,14,13,-1
9446,14,14,1,-1
9447,12,8,9,9
9448,10,10,7,-1
9449,2,1,0,-1
9450,9,9,8,-1
9451,13,6,4,-1
9452,13,14,7,-1
9453,2,5,1,-1
9454,3,10,8,7
9455,5,4,2,-1
9456,2,9,9,-1
9457,2,4,7,-1
9458,11,10,7,-1
9459,14,14,10,-1
9460,8,6,11,-1
9461,4,8,12,7
9462,5,7,8,-1
9463,9,0,13,-1
9464,5,6,7,-1
9465,11,11,0,-1
9466,6,13,9,-1
9467,1,13,6,-1
9468,9,5,8,8
9469,12,12,10,-1
9470,12,2,0,-1
9471,12,2,4,-1
9472,8,9,2,-1
9473,10,12,0,-1
9474,8,14,12,-1
9475,2,4,1,6
9476,9,5,7,-1
9477,6,9,5,-1
9478,11,11,0,-1
9479,7,14,12,-1
9480,11,10,2,-1
9481,0,3,11,-1
9482,6,12,2,6
9483,11,13,14,-1
9484,11,3,4,-1
9485,2,2,3,-1
9486,2,8,5,-1
9487,11,7,7,-1
9488,5,2,9,-1
9489,11,10,1,6
9490,9,4,9,-1
9491,5,7,12,-1
9492,11,8,11,-1
9493,12,8,7,-1
9494,0,5,12,-1
9495,4,3,12,-1
9496,11,3,5,6
9497,9,9,7,-1
9498,1,4,3,-1
9499,14,11,5,-1
9500,9,9,12,-1
9501,6,3,7,-1
9502,7,3,4,-1
9503,13,3,8,7
9504,7,3,12,-1
9505,4,13,7,-1
9506,2,1,13,-1
9507,7,4,13,-1
9508,12,9,4,-1
9509,9,1,13,-1
9510,8,2,7,6
9511,14,11,4,-1
9512,8,4,0,-1
9513,14,0,6,-1
9514,3,5,4,-1
9515,4,10,2,-1
9516,14,3,5,-1
9517,0,11,14,8
9518,0,9,6,-1
9519,10,10,4,-1
9520,9,13,3,-1
9521,11,9,5,-1
9522,3,1,13,-1
9523,12,7,14,-1
9524,9,4,3,8
9525,9,4,0,-1
9526,3,2,5,-1
9527,14,0,4,-1
9528,13,11,8,-1
9529,5,10,13,-1
9530,11,11,6,-1
9531,4,12,6,9
9532,1,9,2,-1
9533,9,7,7,-1
9534,10,10,8,-1
9535,12,5,10,-1
9536,6,13,12,-1
9537,7,2,5,-1
9538,13,0,1,9
9539,7,12,10,-1
9540,3,3,10,-1
9541,5,14,13,-1
9542,0,8,5,-1
9543,8,10,4,-1
9544,1,10,8,-1
9545,1,2,13,7
9546,6,10,3,-1
9547,2,0,14,-1
9548,9,0,6,-1
9549,11,0,0,-1
9550,10,1,12,-1
9551,10,7,11,-1
9552,10,8,10,6
9553,10,0,12,-1
9554,8,13,0,-1
9555,9,0,13,-1
9556,10,0,2,-1
9557,7,3,10,-1
9558,11,14,0,-1
9559,11,5,12,6
9560,14,8,13,-1
9561,4,5,10,-1
9562,0,4,9,-1
9563,11,4,12,-1
9564,8,3,8,-1
9565,11,5,7,-1
9566,0,7,10,8
9567,10,7,13,-1
9568,8,11,0,-1
9569,6,12,2,-1
9570,12,9,14,-1
9571,5,4,6,-1
9572,3,0,5,-1
9573,0,0,12,7
9574,2,11,6,-1
9575,3,13,6,-1
9576,8,5,10,-1
9577,9,0,1,-1
9578,8,3,2,-1
9579,8,4,9,-1
9580,12,10,10,8
9581,1,13,2,-1
9582,3,7,14,-1
9583,8,12,2,-1
9584,10,10,13,-1
9585,4,14,2,-1
9586,13,2,13,-1
9587,3,10,9,7
9588,9,0,6,-1
9589,8,1,12,-1
9590,5,1,0,-1
9591,10,3,10,-1
9592,7,4,12,-1
9593,7,6,10,-1
9594,0,3,8,6
9595,11,5,10,-1
9596,13,8,11,-1
9597,13,5,7,-1
9598,2,8,4,-1
9599,4,9,7,-1
9600,9,10,2,-1
9601,14,9,3,8
9602,13,13,9,-1
9603,14,3,3,-1
9604,2,7,9,-1
9605,7,0,2,-1
9606,10,1,7,-1
9607,14,6,13,-1
9608,0,4,3,9
9609,8,8,8,-1
9610,12,4,9,-1
9611,0,0,1,-1
9612,1,13,13,-1
9613,6,5,1,-1
9614,11,13,9,-1
9615,1,1,12,9
9616,3,5,11,-1
9617,4,6,12,-1
9618,10,1,13,-1
9619,14,8,1,-1
9620,11,5,6,-1
9621,4,13,10,-1
9622,5,11,14,7
9623,11,12,12,-1
9624,11,14,8,-1
9625,7,1,6,-1
9626,1,3,8,-1
9627,3,2,13,-1
9628,14,6,6,-1
9629,5,0,0,6
9630,4,0,11,-1
9631,7,14,9,-1
9632,12,14,8,-1
9633,0,3,11,-1
9634,6,9,5,-1
9635,3,9,10,-1
9636,4,13,2,8
9637,2,13,9,-1
9638,12,6,0,-1
9639,1,8,2,-1
9640,11,6,2,-1
9641,8,3,6,-1
9642,3,14,0,-1
9643,13,5,14,8
9644,3,3,8,-1
9645,8,9,8,-1
9646,5,10,12,-1
9647,5,5,13,-1
9648,6,7,7,-1
9649,10,6,1,-1
9650,10,13,0,6
9651,1,5,8,-1
9652,10,6,4,-1
9653,2,1,14,-1
9654,2,7,13,-1
9655,12,10,7,-1
9656,1,5,4,-1
9657,13,13,8,6
9658,6,2,5,-1
9659,1,0,4,-1
9660,4,7,5,-1
9661,14,5,14,-1
9662,13,5,3,-1
9663,5,12,11,-1
9664,9,2,10,7
9665,13,4,2,-1
9666,6,13,14,-1
9667,11,8,12,-1
9668,0,2,14,-1
9669,1,2,10,-1
9670,12,2,2,-1
9671,7,9,13,9
9672,14,11,10,-1
9673,6,11,4,-1
9674,0,5,4,-1
9675,4,8,11,-1
9676,5,8,8,-1
9677,3,1,9,-1
9678,7,14,8,9
9679,11,14,5,-1
9680,1,5,5,-1
9681,7,8,6,-1
9682,6,0,8,-1
9683,6,12,5,-1
9684,10,6,6,-1
9685,13,7,13,9
9686,3,0,6,-1
9687,12,10,14,-1
9688,10,10,6,-1
9689,9,6,1,-1
9690,6,6,13,-1
9691,5,5,1,-1
9692,12,7,12,7
9693,11,0,7,-1
9694,4,12,8,-1
9695,14,6,7,-1
9696,4,6,13,-1
9697,8,9,4,-1
9698,11,6,0,-1
9699,8,3,13,6
9700,12,3,2,-1
9701,9,8,5,-1
9702,4,0,3,-1
9703,2,11,7,-1
9704,8,10,0,-1
9705,0,7,11,-1
9706,10,9,7,6
9707,1,0,3,-1
9708,6,7,14,-1
9709,10,9,12,-1
9710,7,4,7,-1
9711,4,7,10,-1
9712,10,8,3,-1
9713,12,10,4,8
9714,1,7,6,-1
9715,2,10,12,-1
9716,11,9,8,-1
9717,1,7,0,-1
9718,9,9,12,-1
9719,7,11,12,-1
9720,13,7,0,8
9721,9,12,4,-1
9722,9,0,6,-1
9723,2,0,5,-1
9724,3,3,10,-1
9725,4,13,5,-1
9726,8,6,1,-1
9727,9,9,5,8
9728,12,8,0,-1
9729,0,7,2,-1
9730,3,13,14,-1
9731,6,12,6,-1
9732,13,14,7,-1
9733,3,7,0,-1
9734,6,9,12,7
9735,1,4,10,-1
9736,2,11,14,-1
9737,10,3,5,-1
9738,11,6,11,-1
9739,10,6,14,-1
9740,10,7,14,-1
9741,10,1,8,8
9742,5,10,13,-1
9743,4,13,9,-1
9744,4,0,8,-1
9745,13,10,12,-1
9746,1,1,6,-1
9747,7,7,4,-1
9748,3,10,5,8
9749,12,7,8,-1
9750,9,7,2,-1
9751,6,3,10,-1
9752,1,12,10,-1
9753,10,0,9,-1
9754,11,12,2,-1
9755,9,12,2,7
9756,0,3,11,-1
9757,4,3,1,-1
9758,12,11,3,-1
9759,12,13,14,-1
9760,11,1,14,-1
9761,9,8,0,-1
9762,6,8,3,9
9763,2,10,8,-1
9764,1,6,9,-1
9765,6,4,10,-1
9766,9,13,7,-1
9767,8,2,4,-1
9768,8,11,14,-1
9769,10,0,9,9
9770,3,1,7,-1
9771,1,2,12,-1
9772,1,13,7,-1
9773,9,1,14,-1
9774,3,9,2,-1
9775,12,14,12,-1
9776,14,14,5,8
9777,14,4,13,-1
9778,14,11,10,-1
9779,8,2,1,-1
9780,4,12,10,-1
9781,5,13,0,-1
9782,9,10,5,-1
9783,7,1,6,9
9784,1,5,4,-1
9785,0,11,4,-1
9786,4,5,9,-1
9787,1,1,3,-1
9788,11,10,10,-1
9789,1,12,8,-1
9790,2,1,0,6
9791,9,1,5,-1
9792,7,8,13,-1
9793,2,7,5,-1
9794,8,10,6,-1
9795,8,7,8,-1
9796,8,3,3,-1
9797,8,9,12,6
9798,9,6,4,-1
9799,10,0,2,-1
9800,0,14,6,-1
9801,2,2,8,-1
9802,7,0,10,-1
9803,3,5,11,-1
9804,0,7,6,9
9805,3,13,8,-1
9806,14,4,1,-1
9807,6,7,6,-1
9808,0,8,9,-1
9809,0,4,8,-1
9810,1,6,11,-1
9811,4,5,9,6
9812,8,10,8,-1
9813,11,7,12,-1
9814,11,11,3,-1
9815,11,12,13,-1
9816,11,1,4,-1
9817,7,1,11,-1
9818,6,8,11,8
9819,3,3,7,-1
9820,6,3,7,-1
9821,13,4,7,-1
9822,11,7,13,-1
9823,2,3,9,-1
9824,6,14,7,-1
9825,8,2,7,7
9826,14,11,6,-1
9827,13,1,4,-1
9828,13,0,4,-1
9829,0,4,9,-1
9830,3,7,5,-1
9831,12,8,9,-1
9832,14,2,0,7
9833,2,2,3,-1
9834,3,12,9,-1
9835,7,2,2,-1
9836,10,11,0,-1
9837,14,5,11,-1
9838,4,0,9,-1
9839,10,10,13,9
9840,6,8,11,-1
9841,11,1,8,-1
9842,0,10,0,-1
9843,7,7,12,-1
9844,4,9,2,-1
9845,10,9,9,-1
9846,7,1,4,7
9847,0,4,3,-1
9848,14,14,10,-1
9849,14,4,0,-1
9850,8,2,11,-1
9851,6,2,3,-1
9852,0,5,3,-1
9853,1,1,1,7
9854,13,12,2,-1
9855,0,14,9,-1
9856,14,7,7,-1
9857,5,1,9,-1
9858,5,10,11,-1
9859,1,3,1,-1
9860,14,1,14,7
9861,8,0,7,-1
9862,7,2,9,-1
9863,6,14,9,-1
9864,1,1,12,-1
9865,5,14,7,-1
9866,0,1,4,-1
9867,9,14,12,8
9868,1,12,12,-1
9869,4,3,4,-1
9870,7,13,7,-1
9871,3,14,1,-1
9872,10,12,5,-1
9873,11,6,8,-1
9874,1,2,13,7
9875,8,14,4,-1
9876,14,3,14,-1
9877,6,0,9,-1
9878,6,4,12,-1
9879,5,9,8,-1
9880,8,1,1,-1
9881,13,6,5,8
9882,12,4,1,-1
9883,10,6,1,-1
9884,11,5,5,-1
9885,4,8,12,-1
9886,1,6,9,-1
9887,3,8,8,-1
9888,3,12,9,6
9889,6,11,5,-1
9890,1,9,8,-1
9891,5,12,3,-1
9892,5,3,3,-1
9893,10,1,3,-1
9894,3,3,5,-1
9895,6,9,0,8
9896,4,14,2,-1
9897,12,11,10,-1
9898,2,11,8,-1
9899,1,3,0,-1
9900,5,13,12,-1
9901,2,7,0,-1
9902,12,12,3,8
9903,3,10,8,-1
9904,5,6,5,-1
9905,3,5,5,-1
9906,8,5,8,-1
9907,3,5,12,-1
9908,11,1,4,-1
9909,5,9,12,8
9910,9,2,2,-1
9911,12,3,3,-1
9912,12,8,4,-1
9913,7,9,12,-1
9914,6,11,14,-1
9915,6,1,3,-1
9916,14,11,11,9
9917,0,8,10,-1
9918,7,2,3,-1
9919,9,5,11,-1
9920,1,6,12,-1
9921,6,7,3,-1
9922,14,8,4,-1
9923,0,11,10,7
9924,3,12,10,-1
9925,5,0,7,-1
9926,1,0,5,-1
9927,12,0,5,-1
9928,7,7,2,-1
9929,5,7,1,-1
9930,5,11,1,6
9931,10,8,0,-1
9932,10,7,13,-1
9933,5,0,13,-1
9934,13,10,14,-1
9935,11,6,14,-1
9936,11,9,8,-1
9937,14,2,6,8
9938,11,1,12,-1
9939,7,5,13,-1
9940,6,3,13,-1
9941,13,7,3,-1
9942,3,4,12,-1
9943,13,10,7,-1
9944,13,10,10,7
9945,4,6,6,-1
9946,0,6,12,-1
9947,3,3,14,-1
9948,11,1,1,-1
9949,0,8,6,-1
9950,10,13,4,-1
9951,6,5,3,7
9952,9,7,4,-1
9953,8,12,2,-1
9954,10,9,9,-1
9955,7,12,11,-1
9956,7,11,12,-1
9957,7,1,3,-1
9958,8,6,0,7
9959,10,11,6,-1
9960,2,6,9,-1
9961,2,13,2,-1
9962,12,14,10,-1
9963,12,12,0,-1
9964,7,5,11,-1
9965,9,3,2,7
9966,4,10,12,-1
9967,7,10,2,-1
9968,3,14,11,-1
9969,8,1,4,-1
9970,12,4,3,-1
9971,8,14,0,-1
9972,10,0,4,8
9973,14,0,0,-1
9974,8,8,2,-1
9975,3,2,5,-1
9976,2,6,2,-1
9977,1,10,14,-1
9978,11,10,10,-1
9979,4,1,14,8
9980,11,0,14,-1
9981,3,10,0,-1
9982,6,8,2,-1
9983,7,0,9,-1
9984,1,6,5,-1
9985,6,4,9,-1
9986,12,11,10,6
9987,12,2,13,-1
9988,9,3,3,-1
9989,13,13,5,-1
9990,4,13,10,-1
9991,9,11,13,-1
9992,3,5,6,-1
9993,11,11,12,9
9994,11,7,3,-1
9995,6,14,1,-1
9996,14,1,2,-1
9997,11,7,10,-1
9998,1,9,11,-1
9999,2,9,6,-1
10000,10,6,5,7
10001,13,10,8,-1
10002,9,6,14,-1
10003,12,10,7,-1
10004,8,6,8,-1
10005,11,1,10,-1
10006,7,5,0,-1
10007,0,8,3,8
10008,9,9,2,-1
10009,8,6,5,-1
10010,2,12,0,-1
10011,8,2,4,-1
10012,4,3,14,-1
10013,13,8,11,-1
10014,5,9,14,8
10015,1,3,14,-1
10016,0,9,0,-1
10017,7,9,1,-1
10018,6,13,10,-1
10019,6,0,12,-1
10020,12,5,7,-1
10021,6,3,12,9
10022,3,12,7,-1
10023,7,1,14,-1
10024,3,6,9,-1
10025,3,13,2,-1
10026,1,3,3,-1
10027,5,11,9,-1
10028,2,3,13,7
10029,0,0,9,-1
10030,14,11,10,-1
10031,2,10,7,-1
10032,6,8,14,-1
10033,7,12,4,-1
10034,11,12,9,-1
10035,2,6,8,8
10036,9,9,9,-1
10037,13,13,11,-1
10038,2,8,5,-1
10039,13,12,1,-1
10040,5,2,8,-1
10041,6,3,12,-1
10042,9,6,7,9
10043,7,4,5,-1
10044,11,5,0,-1
10045,2,10,6,-1
10046,4,3,12,-1
10047,1,11,6,-1
10048,1,10,11,-1
10049,8,6,4,9
10050,12,5,8,-1
10051,14,2,7,-1
10052,7,1,11,-1
10053,8,12,6,-1
10054,9,12,1,-1
10055,12,1,6,-1
10056,12,8,13,7
10057,2,0,4,-1
10058,6,3,1,-1
10059,0,10,5,-1
10060,10,2,10,-1
10061,3,11,11,-1
10062,11,7,0,-1
10063,14,13,10,7
10064,4,12,8,-1
10065,8,13,3,-1
10066,12,8,14,-1
10067,2,14,14,-1
10068,2,7,8,-1
10069,9,14,12,-1
10070,3,7,2,6
10071,7,2,0,-1
10072,11,8,4,-1
10073,4,1,5,-1
10074,1,13,11,-1
10075,12,13,13,-1
10076,2,9,0,-1
10077,9,2,3,7
10078,8,5,1,-1
10079,11,9,10,-1
10080,4,13,2,-1
10081,13,2,8,-1
10082,9,10,3,-1
10083,4,10,2,-1
10084,10,5,7,8
10085,5,10,2,-1
10086,12,13,4,-1
10087,8,6,4,-1
10088,8,11,4,-1
10089,8,10,1,-1
10090,1,7,1,-1
10091,9,8,7,6
10092,3,3,9,-1
10093,5,12,2,-1
10094,5,7,3,-1
10095,6,2,1,-1
10096,13,10,12,-1
10097,11,2,6,-1
10098,9,7,12,7
10099,8,12,9,-1
10100,3,5,3,-1
10101,3,0,12,-1
10102,5,1,10,-1
10103,4,2,13,-1
10104,0,13,13,-1
10105,2,3,0,6
10106,0,6,4,-1
10107,6,7,12,-1
10108,4,11,0,-1
10109,2,11,1,-1
10110,1,6,9,-1
10111,3,8,11,-1
10112,3,10,14,7
10113,11,7,8,-1
10114,6,2,2,-1
10115,12,9,10,-1
10116,7,8,6,-1
10117,14,8,1,-1
10118,8,9,0,-1
10119,13,11,4,7
10120,10,7,14,-1
10121,7,10,11,-1
10122,9,4,7,-1
10123,2,0,7,-1
10124,5,1,3,-1
10125,9,8,10,-1
10126,10,5,0,7
10127,6,3,1,-1
10128,4,2,0,-1
10129,12,2,7,-1
10130,13,0,14,-1
10131,14,8,8,-1
10132,0,12,5,-1
10133,5,11,2,8
10134,1,13,8,-1
10135,5,10,6,-1
10136,7,4,14,-1
10137,6,3,10,-1
10138,7,2,0,-1
10139,6,2,10,-1
10140,5,0,9,9
10141,9,10,8,-1
10142,5,13,3,-1
10143,13,2,6,-1
10144,11,4,1,-1
10145,3,14,10,-1
10146,11,2,10,-1
10147,14,7,14,9
10148,1,0,7,-1
10149,7,14,9,-1
10150,5,9,3,-1
10151,7,9,4,-1
10152,0,0,7,-1
10153,8,12,1,-1
10154,14,9,14,8
10155,5,1,14,-1
10156,6,11,3,-1
10157,7,7,7,-1
10158,12,13,0,-1
10159,6,11,12,-1
10160,0,9,14,-1
10161,10,14,2,8
10162,8,0,11,-1
10163,12,10,11,-1
10164,13,2,13,-1
10165,4,8,9,-1
10166,7,11,12,-1
10167,8,9,8,-1
10168,8,2,5,9
10169,10,2,13,-1
10170,8,14,13,-1
10171,0,4,10,-1
